reward,epsilon,termination,loss,force magnitude,force angle,average force vector,cyl_x_pos,cyl_y_pos,cyl_angle,gate_stats,obstacle_stats,intention_reward,intention_heading,run_time,robots_x_pos,robots_y_pos,robot_angle,robot_failures,env_observations,agent_actions
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,8.182051658630371,"[1.6482145, 1.1031382, 0.8294698, 1.7475907]","[-30.861729, 59.13827, 149.13828, -120.86173]","[0, 0.0]",-0.6749114,1.0171964,-30.861729,0,"[0.059798203, -0.9384114, 0.06955659, 0.33847]","[0.0, 0.0, 0.0, 0.0]",-0.036969270557165146,0.008190393447875977,"[-0.8953312, -0.80663, -0.4544915, -0.54778373]","[1.148915, 0.79677653, 0.8854777, 1.2299335]","[-30.861729, 59.13827, 149.13828, -120.86173]","[0, 0, 0, 0]","[array([ 2.2163677e+00, -3.6174682e-01,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01, -9.1808658e-08,  1.9595960e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.9745290e+00, -8.2937149e+01,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01, -9.1809376e-08,  1.9595960e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([1.7028260e+00, 1.7952916e+02, 7.0000000e+00, 7.0000000e+00,
       2.5677755e-01, 9.1810030e-08, 1.9595960e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32), array([1.9769601e+00, 8.2389610e+01, 2.0000000e+01, 2.0000000e+01,
       2.4782756e-01, 9.6663229e-08, 1.9595960e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([-0.1,  0.1,  0. ]), array([-0.1,  0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-1.9931487, -1.9931487, -1.9931487, -1.9931487]",0.01,False,20.127826690673828,"[1.6415834, 1.1035815, 0.8348875, 1.7393975]","[-30.861729, 59.13827, 149.13828, -120.86173]","[0, 0.0]",-0.6752024,1.0167093,-30.861729,0,"[0.059798203, -0.9384114, 0.06955659, 0.33847]","[-0.006736949203821951, -0.0040131667179316155, -0.004260473143332, -0.00419142852801202]",-0.02829006128013134,0.01677989959716797,"[-0.88932234, -0.80303925, -0.46050036, -0.55320454]","[1.1453242, 0.8027854, 0.8890685, 1.2208623]","[-30.861729, 59.13827, 149.13828, -120.86173]","[0, 0, 0, 0]","[array([ 2.209368  , -0.36289296,  7.        ,  7.        ,  0.24977821,
       -0.13016617,  1.959592  ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9736805e+00, -8.3138817e+01,  7.0000000e+00,  7.0000000e+00,
        2.4921010e-01, -9.4186845e-08,  1.9595920e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([1.7098258e+00, 1.7953108e+02, 7.0000000e+00, 7.0000000e+00,
       2.4977821e-01, 1.3016617e-01, 1.9595920e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32), array([1.97558832e+00, 8.26933899e+01, 2.00000000e+01, 2.00000000e+01,
       2.37827554e-01, 1.00728876e-07, 1.95959198e+00, 0.00000000e+00,
       0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00,
       0.00000000e+00, 0.00000000e+00, 0.00000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-1.9937314, -1.9937314, -1.9937314, -1.9937314]",0.01,False,8.62905502319336,"[1.6349554, 1.1040692, 0.84032863, 1.7385137]","[-30.861729, 59.13827, 149.13828, -120.86173]","[0, 0.0]",-0.6757882,1.015729,-30.861729,0,"[0.059798203, -0.9384114, 0.06955659, 0.33847]","[-0.003946859220940846, -0.0039756064186527995, -0.004009298376143278, -0.004054198836236478]",-0.029113521799445152,0.024895429611206055,"[-0.8833135, -0.7994485, -0.46650922, -0.55379033]","[1.1417335, 0.80879426, 0.89265925, 1.219882]","[-30.861729, 59.13827, 149.13828, -120.86173]","[0, 0, 0, 0]","[array([ 2.202368  , -0.36404637,  7.        ,  7.        ,  0.24278358,
       -0.40342167,  1.9595846 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9728565e+00, -8.3340652e+01,  7.0000000e+00,  7.0000000e+00,
        2.4106812e-01, -9.6513965e-08,  1.9595846e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.7168255 , 179.53299   ,   7.        ,   7.        ,
         0.24278358,   0.40342167,   1.9595846 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([1.97544336e+00, 8.27262421e+01, 2.00000000e+01, 2.00000000e+01,
       2.37827554e-01, 1.00728876e-07, 1.95958459e+00, 0.00000000e+00,
       0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00,
       0.00000000e+00, 0.00000000e+00, 0.00000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-1.994319, -1.994319, -1.994319, -1.994319]",0.01,False,21.086088180541992,"[1.6283306, 1.104601, 0.84579265, 1.7376229]","[-30.861729, 59.13827, 149.13828, -120.86173]","[0, 0.0]",-0.67637885,1.0147406,-30.861729,0,"[0.059798203, -0.9384114, 0.06955659, 0.33847]","[-0.004179809237943366, -0.004164540697532915, -0.004154502200234611, -0.004157849688185444]",-0.029007600620388985,0.032657623291015625,"[-0.8773046, -0.79585767, -0.47251806, -0.55438095]","[1.1381427, 0.8148031, 0.89625007, 1.2188936]","[-30.861729, 59.13827, 149.13828, -120.86173]","[0, 0, 0, 0]","[array([ 2.1953683 , -0.36520714,  7.        ,  7.        ,  0.23579492,
       -0.6951744 ,  1.9595777 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9720570e+00, -8.3542664e+01,  7.0000000e+00,  7.0000000e+00,
        2.3291671e-01, -9.9000637e-08,  1.9595777e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.7238253 , 179.5349    ,   7.        ,   7.        ,
         0.23579492,   0.6951744 ,   1.9595777 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([1.97529793e+00, 8.27593689e+01, 2.00000000e+01, 2.00000000e+01,
       2.37827554e-01, 1.00728876e-07, 1.95957768e+00, 0.00000000e+00,
       0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00,
       0.00000000e+00, 0.00000000e+00, 0.00000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-1.9949113, -1.9949113, -1.9949113, -1.9949113]",0.01,False,10.341431617736816,"[1.6217088, 1.1051769, 0.85127914, 1.736725]","[-30.861729, 59.13827, 149.13828, -120.86173]","[0, 0.0]",-0.67697436,1.0137441,-30.861729,0,"[0.059798203, -0.9384114, 0.06955659, 0.33847]","[-0.004149471508859359, -0.004150269802876472, -0.00415161360217875, -0.004152767962178783]",-0.029027476906776428,0.040857791900634766,"[-0.8712958, -0.7922669, -0.47852692, -0.5549764]","[1.134552, 0.820812, 0.89984083, 1.2178972]","[-30.861729, 59.13827, 149.13828, -120.86173]","[0, 0, 0, 0]","[array([ 2.1883683 , -0.36637533,  7.        ,  7.        ,  0.2288129 ,
       -1.0071031 ,  1.9595714 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9712821e+00, -8.3744827e+01,  7.0000000e+00,  7.0000000e+00,
        2.2475587e-01, -1.0166445e-07,  1.9595714e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.7308251, 179.53677  ,   7.       ,   7.       ,   0.2288129,
         1.0071031,   1.9595714,   0.       ,   0.       ,   0.       ,
         0.       ,   0.       ,   0.       ,   0.       ,   0.       ],
      dtype=float32), array([1.97515190e+00, 8.27927780e+01, 2.00000000e+01, 2.00000000e+01,
       2.37827554e-01, 1.00728876e-07, 1.95957136e+00, 0.00000000e+00,
       0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00,
       0.00000000e+00, 0.00000000e+00, 0.00000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-1.9975959, -1.9975959, -1.9975959, -1.9975959]",0.01,False,18.709348678588867,"[1.6150903, 1.1057967, 0.8567877, 1.3382832]","[-30.861729, 59.13827, 149.13828, -120.86173]","[0, 0.0]",-0.67715687,1.0134404,-30.861729,0,"[0.059798203, -0.9384114, 0.06955659, 0.33847]","[-0.004155156029819196, -0.0041549524685688954, -0.004154756372384272, -0.004154739320760381]",-0.029025664553046227,0.04890847206115723,"[-0.86528695, -0.78867614, -0.48453578, -0.55506593]","[1.1309612, 0.8268208, 0.9034316, 1.2177453]","[-30.861729, 59.13827, 149.13828, -120.86173]","[0, 0, 0, 0]","[array([ 2.1813686 , -0.367551  ,  7.        ,  7.        ,  0.22181985,
       -1.1303998 ,  1.9595705 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9705317e+00, -8.3947151e+01,  7.0000000e+00,  7.0000000e+00,
        2.1740152e-01,  2.3371672e-04,  1.9595705e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.7378248 , 179.53864   ,   7.        ,   7.        ,
         0.22182162,   1.1303908 ,   1.9595705 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 1.9751288e+00,  8.2797844e+01,  0.0000000e+00,  0.0000000e+00,
        2.3800565e-01, -4.6076695e-04,  1.9595705e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,30.962297439575195,"[1.608475, 1.1064606, 0.8623179, 1.3374556]","[-30.861729, 59.13827, 149.13828, -120.91065]","[0, 0.0]",-0.67715514,1.0134443,-30.861729,0,"[0.059798203, -0.9384114, 0.06955659, 0.33847]","[-0.004154637544606432, -0.004154671647472297, -0.004154713743390048, -0.004154756372384272]",-0.029026199132204056,0.057333946228027344,"[-0.8592781, -0.7850854, -0.49054462, -0.5550596]","[1.1273704, 0.83282965, 0.90702236, 1.2177463]","[-30.861729, 59.13827, 149.13828, -120.91065]","[0, 0, 0, 0]","[array([ 2.1743686 , -0.36873427,  7.        ,  7.        ,  0.21482064,
       -1.1660974 ,  1.9595711 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9698058e+00, -8.4149628e+01,  7.0000000e+00,  7.0000000e+00,
        2.1040578e-01,  3.8416637e-04,  1.9595711e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.7448246 , 179.54048   ,   7.        ,   7.        ,
         0.21482347,   1.166082  ,   1.9595711 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 1.9751244e+00,  8.2846634e+01,  0.0000000e+00, -1.0000000e-01,
        2.3800541e-01,  4.7130816e-02,  1.9595711e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-2.406998, -2.406998, -2.406998, -2.406998]",0.01,False,8.074956893920898,"[1.6018629, 1.1066725, 0.8678693, 1.3366797]","[-30.861729, 59.13827, 149.13828, -121.01394]","[0, 0.0]",-0.6771365,1.0135934,-30.861729,0,"[0.059798203, -0.9384114, 0.06955659, 0.33847]","[-0.004154790475736858, -0.0041548245792291105, -0.004154816053342891, -0.004154807527465443]",-0.029026348143815994,0.06627082824707031,"[-0.8532692, -0.7843481, -0.49655348, -0.5549951]","[1.1237797, 0.83418137, 0.9106131, 1.2178246]","[-30.861729, 59.13827, 149.13828, -121.01394]","[0, 0, 0, 0]","[array([ 2.167369  , -0.36992517,  7.        ,  7.        ,  0.20775884,
       -1.1678044 ,  1.9596322 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9697098e+00, -8.4194321e+01,  7.0000000e+00,  7.0000000e+00,
        2.0900479e-01,  3.8981606e-04,  1.9596322e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.7518244 , 179.54233   ,   7.        ,   7.        ,
         0.20788255,   1.1671094 ,   1.9596322 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 1.975122  , 82.946976  ,  0.        , -0.2       ,  0.23796825,
        0.13221972,  1.9596322 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-2.4806688, -2.4806688, -2.4806688, -2.4806688]",0.01,False,34.59443283081055,"[1.5952542, 1.1067636, 0.8734416, 1.33595]","[-30.861729, 59.13827, 149.13828, -121.171585]","[0, 0.0]",-0.6771296,1.0137562,-30.861729,0,"[0.059798203, -0.9384114, 0.06955659, 0.33847]","[-0.0041548331051239895, -0.004154790475736858, -0.004154807527465443, -0.0041548245792291105]",-0.02902625873684883,0.07493448257446289,"[-0.84726036, -0.7843409, -0.50256234, -0.55492043]","[1.1201888, 0.8343439, 0.91420394, 1.2179489]","[-30.861729, 59.13827, 149.13828, -121.171585]","[0, 0, 0, 0]","[array([ 2.160369  , -0.3711238 ,  7.        ,  7.        ,  0.20067982,
       -1.1681012 ,  1.9597105 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9697721e+00, -8.4198692e+01,  7.0000000e+00,  7.0000000e+00,
        2.0900479e-01,  4.7674542e-04,  1.9597105e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.7588241 , 179.54414   ,   7.        ,   7.        ,
         0.20095865,   1.1664802 ,   1.9597105 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 1.9751397 , 83.10045   ,  0.        , -0.3       ,  0.23797005,
        0.2710987 ,  1.9597105 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,4.724018096923828,"[1.5886488, 1.145144, 0.8790342, 1.3352035]","[-30.861729, 59.13827, 149.13828, -121.38359]","[0, 0.0]",-0.6771172,1.0138273,-30.861729,0,"[0.059798203, -0.9384114, 0.06955659, 0.33847]","[-0.004154807527465443, -0.004154807527465443, -0.004154816053342891, -0.004154807527465443]",-0.02902625873684883,0.08393430709838867,"[-0.8412515, -0.7843429, -0.5085712, -0.5548541]","[1.1165981, 0.83436257, 0.9177947, 1.2180376]","[-30.861729, 59.13827, 149.13828, -121.38359]","[0, 0, 0, 0]","[array([ 2.1533692 , -0.3723302 ,  7.        ,  7.        ,  0.19365405,
       -1.1905249 ,  1.9597367 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9697819e+00, -8.4199165e+01,  0.0000000e+00,  0.0000000e+00,
        2.0905730e-01,  4.4762092e-03,  1.9597367e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.765824  , 179.54596   ,   7.        ,   7.        ,
         0.19398463,   1.1884958 ,   1.9597367 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 1.9751422 , 83.30924   ,  0.        , -0.4       ,  0.23801287,
        0.4741222 ,  1.9597367 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,65.60139465332031,"[1.5820469, 1.1455302, 0.8841198, 1.3343952]","[-30.861729, 59.089348, 149.13828, -121.649956]","[0, 0.0]",-0.6771493,1.013852,-30.861729,0,"[0.059798203, -0.9384114, 0.06955659, 0.33847]","[-0.004154807527465443, -0.004154816053342891, -0.004154781949885611, -0.0041548245792291105]",-0.029026199132204056,0.09271645545959473,"[-0.8352426, -0.784366, -0.5140116, -0.5548234]","[1.1130073, 0.83432394, 0.9210509, 1.2180245]","[-30.861729, 59.089348, 149.13828, -121.649956]","[0, 0, 0, 0]","[array([ 2.1463692 , -0.37354448,  7.        ,  7.        ,  0.18661532,
       -1.2339782 ,  1.959777  ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.9697864e+00, -8.4148933e+01,  0.0000000e+00, -1.0000000e-01,
        2.0910704e-01,  6.4413071e-02,  1.9597770e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.7721642 , 179.54744   ,   7.        ,   7.        ,
         0.18768579,   1.228274  ,   1.959777  ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 1.97511   , 83.575356  ,  0.        , -0.5       ,  0.23801269,
        0.72285634,  1.959777  ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
