reward,epsilon,termination,loss,force magnitude,force angle,average force vector,cyl_x_pos,cyl_y_pos,cyl_angle,gate_stats,obstacle_stats,intention_reward,intention_heading,run_time,robots_x_pos,robots_y_pos,robot_angle,robot_failures,env_observations,agent_actions
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,54.210567474365234,"[1.6223081, 1.5860255, 0.9469421, 0.9419875]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0.0]",-0.9726901,0.7784882,-79.5588,0,"[0.059527434, -0.24431874, 0.06789946, 0.25789812]","[0.0, 0.0, 0.0, 0.0]",0.1758091151714325,0.0069637298583984375,"[-1.019225, -1.2252158, -0.9261552, -0.7289662]","[1.0310138, 0.7319533, 0.52596253, 0.8234011]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0, 0, 0]","[array([ 2.2672138e+00,  5.2509995e+01,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01, -9.1807927e-08,  2.1207428e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.3425074e+00, -2.8649092e+01,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01, -9.1808936e-08,  2.1207428e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.9966749e+00, -1.1571424e+02,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01, -9.1807685e-08,  2.1207428e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.9150231e+00,  1.4409319e+02,  2.0000000e+01,  2.0000000e+01,
        2.4782756e-01, -9.5377395e-09,  2.1207428e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0.1,  0. ]), array([-0.1, -0.1,  0. ]), array([-0.1, -0.1,  0. ]), array([-0.1,  0.1,  0. ])]"
"[-2.8483355, -2.8483355, -2.8483355, -2.8483355]",0.01,False,22.258066177368164,"[1.6162608, 1.580399, 0.95051914, 0.9418832]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0.0]",-0.9732481,0.77838534,-79.5588,0,"[0.059527434, -0.24431874, 0.06789946, 0.25789812]","[-0.14869073327160898, -0.1442380619760253, -0.14922481698537837, -0.14325707995223902]",0.17611141502857208,0.01421666145324707,"[-1.0179564, -1.2183317, -0.9274238, -0.73935866]","[1.0241297, 0.7332219, 0.53284657, 0.821486]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0, 0, 0]","[array([ 2.2629604 , 52.650623  ,  7.        ,  7.        ,  0.24977821,
       -0.13016617,  2.1212242 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 2.3363669e+00, -2.8731396e+01,  7.0000000e+00,  7.0000000e+00,
        2.4921010e-01, -9.4411917e-08,  2.1212242e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([   1.999722  , -115.89494   ,    7.        ,    7.        ,
          0.24977821,    0.13016598,    2.1212242 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([ 1.9235924e+00,  1.4427779e+02,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -9.9389297e-09,  2.1212242e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1, -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([-0.1,  0.1,  0. ])]"
"[-2.8484864, -2.8484864, -2.8484864, -2.8484864]",0.01,False,72.36182403564453,"[1.6102209, 1.5747834, 0.9541341, 0.941879]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0.0]",-0.9743712,0.7781784,-79.5588,0,"[0.059527434, -0.24431874, 0.06789946, 0.25789812]","[-0.14918939228871497, -0.1490879858774189, -0.1490033285565635, -0.1489872749278618]",0.17542102932929993,0.021646738052368164,"[-1.0166878, -1.2114476, -0.9286924, -0.74048173]","[1.0172457, 0.7344905, 0.53973067, 0.82127905]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0, 0, 0]","[array([ 2.2587206 , 52.79178   ,  7.        ,  7.        ,  0.24278358,
       -0.40342167,  2.122193  ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 2.3302310e+00, -2.8814133e+01,  7.0000000e+00,  7.0000000e+00,
        2.4106812e-01, -9.7215974e-08,  2.1221931e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([   2.002789  , -116.075096  ,    7.        ,    7.        ,
          0.24278358,    0.40342146,    2.122193  ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([ 1.9245197e+00,  1.4429764e+02,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -9.9389297e-09,  2.1221931e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1, -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([-0.1,  0.1,  0. ])]"
"[-2.8486383, -2.8486383, -2.8486383, -2.8486383]",0.01,False,74.76275634765625,"[1.604189, 1.5691792, 0.9577866, 0.9418762]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0.0]",-0.97550356,0.7779697,-79.5588,0,"[0.059527434, -0.24431874, 0.06789946, 0.25789812]","[-0.14805169154435327, -0.14788012390903127, -0.14804198466260798, -0.1478821573843272]",0.1753615289926529,0.029121875762939453,"[-1.0154192, -1.2045635, -0.92996097, -0.7416141]","[1.0103616, 0.7357591, 0.54661477, 0.8210704]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0, 0, 0]","[array([ 2.2544944 , 52.933464  ,  7.        ,  7.        ,  0.23579492,
       -0.6951744 ,  2.1231701 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 2.3241003e+00, -2.8897306e+01,  7.0000000e+00,  7.0000000e+00,
        2.3291671e-01, -1.0021679e-07,  2.1231701e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([   2.0058756 , -116.25469   ,    7.        ,    7.        ,
          0.23579492,    0.6951742 ,    2.1231701 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([ 1.9254549e+00,  1.4431763e+02,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -9.9389297e-09,  2.1231701e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1, -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([-0.1,  0.1,  0. ])]"
"[-2.8487911, -2.8487911, -2.8487911, -2.8487911]",0.01,False,16.282554626464844,"[1.5981649, 1.563586, 0.96147627, 0.9418748]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0.0]",-0.9766452,0.7777594,-79.5588,0,"[0.059527434, -0.24431874, 0.06789946, 0.25789812]","[-0.14795382722861972, -0.14794873017871724, -0.1479527735049485, -0.14794853413994968]",0.17536543309688568,0.03630399703979492,"[-1.0141506, -1.1976794, -0.93122953, -0.7427557]","[1.0034776, 0.73702765, 0.55349886, 0.82085997]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0, 0, 0]","[array([ 2.250282 , 53.075684 ,  7.       ,  7.       ,  0.2288129,
       -1.0071031,  2.1241553,  0.       ,  0.       ,  0.       ,
        0.       ,  0.       ,  0.       ,  0.       ,  0.       ],
      dtype=float32), array([ 2.3179743e+00, -2.8980919e+01,  7.0000000e+00,  7.0000000e+00,
        2.2475587e-01, -1.0343618e-07,  2.1241553e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([   2.008982 , -116.43374  ,    7.       ,    7.       ,
          0.2288129,    1.0071028,    2.1241553,    0.       ,
          0.       ,    0.       ,    0.       ,    0.       ,
          0.       ,    0.       ,    0.       ], dtype=float32), array([ 1.9263978e+00,  1.4433777e+02,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -9.9389297e-09,  2.1241553e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1, -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([-0.1,  0.1,  0. ])]"
"[-2.8475118, -2.8475118, -2.8475118, -2.8475118]",0.01,False,8.13943099975586,"[1.5921489, 1.5580043, 0.9652025, 1.1071153]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0.0]",-0.9769935,0.7776943,-79.5588,0,"[0.059527434, -0.24431874, 0.06789946, 0.25789812]","[-0.14796024766605975, -0.1479547584291564, -0.14796034568899874, -0.14795542007328144]",0.17536389827728271,0.043576717376708984,"[-1.012882, -1.1907953, -0.93249816, -0.7429292]","[0.9965934, 0.7382963, 0.56038296, 0.82082903]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0, 0, 0]","[array([ 2.2460837 , 53.218433  ,  7.        ,  7.        ,  0.22182162,
       -1.1303908 ,  2.1244557 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 2.3118532e+00, -2.9064976e+01,  7.0000000e+00,  7.0000000e+00,
        2.1740152e-01, -2.3392832e-04,  2.1244557e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([   2.0121078 , -116.61223   ,    7.        ,    7.        ,
          0.22181985,    1.1303996 ,    2.1244557 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([1.9265417e+00, 1.4434081e+02, 0.0000000e+00, 0.0000000e+00,
       2.3800565e-01, 4.6085767e-04, 2.1244557e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1, -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([-0.1,  0.1,  0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,8.088411331176758,"[1.5861409, 1.552434, 0.968965, 1.1071153]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0.0]",-0.9769935,0.7776943,-79.5588,0,"[0.059527434, -0.24431874, 0.06789946, 0.25789812]","[-0.1479577235856694, -0.1479577235856694, -0.14795796864114974, -0.14795760105799927]",0.17536379396915436,0.051587820053100586,"[-1.0116135, -1.1839112, -0.9337667, -0.7429292]","[0.9897093, 0.73956484, 0.56726706, 0.82082903]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0, 0, 0]","[array([ 2.2418995 , 53.361713  ,  7.        ,  7.        ,  0.21482302,
       -1.1672221 ,  2.1244557 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 2.3057373e+00, -2.9149479e+01,  7.0000000e+00,  7.0000000e+00,
        2.1040152e-01, -2.4171105e-04,  2.1244557e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([   2.0152533 , -116.79016   ,    7.        ,    7.        ,
          0.21482125,    1.1672316 ,    2.1244557 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([1.9265417e+00, 1.4434081e+02, 0.0000000e+00, 0.0000000e+00,
       2.3800565e-01, 4.6085767e-04, 2.1244557e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1, -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([0., 0., 0.])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,95.52800750732422,"[1.580141, 1.5512619, 0.9727633, 1.1071103]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0.0]",-0.9769233,0.77770644,-79.5588,0,"[0.059527434, -0.24431874, 0.06789946, 0.25789812]","[-0.14795755204694427, -0.14795762556352954, -0.14795760105799927, -0.14795752754141955]",0.17536389827728271,0.05915427207946777,"[-1.0103449, -1.1824603, -0.9350353, -0.7429198]","[0.9828253, 0.7398332, 0.57415116, 0.8208308]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0, 0, 0]","[array([ 2.237729  , 53.505535  ,  7.        ,  7.        ,  0.20782377,
       -1.1868826 ,  2.1243947 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 2.3044491e+00, -2.9167368e+01,  7.0000000e+00,  7.0000000e+00,
        2.0899728e-01, -7.0563745e-04,  2.1243947e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([   2.018418  , -116.96754   ,    7.        ,    7.        ,
          0.20782053,    1.1869009 ,    2.1243947 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([1.9265338e+00, 1.4434064e+02, 0.0000000e+00, 0.0000000e+00,
       2.3794395e-01, 6.4332323e-04, 2.1243947e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1, -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([0., 0., 0.])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,18.769668579101562,"[1.5741494, 1.5512619, 0.9765971, 1.1071103]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0.0]",-0.9769233,0.77770644,-79.5588,0,"[0.059527434, -0.24431874, 0.06789946, 0.25789812]","[-0.1479577235856694, -0.14795745402485672, -0.14795760105799927, -0.14795762556352954]",0.17536383867263794,0.06653571128845215,"[-1.0090762, -1.1824603, -0.9363039, -0.7429198]","[0.9759412, 0.7398332, 0.5810352, 0.8208308]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0, 0, 0]","[array([ 2.233573  , 53.649887  ,  7.        ,  7.        ,  0.20082533,
       -1.2282498 ,  2.1243947 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 2.3044491e+00, -2.9167368e+01,  7.0000000e+00,  7.0000000e+00,
        2.0899728e-01, -7.0563843e-04,  2.1243947e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([   2.021602  , -117.144356  ,    7.        ,    7.        ,
          0.20082209,    1.2282695 ,    2.1243947 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([1.9265338e+00, 1.4434064e+02, 0.0000000e+00, 0.0000000e+00,
       2.3794395e-01, 6.4332323e-04, 2.1243947e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1, -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([0., 0., 0.])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,3.9501125812530518,"[1.5681663, 1.3948354, 0.98046577, 1.1071103]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0.0]",-0.9769233,0.77770644,-79.5588,0,"[0.059527434, -0.24431874, 0.06789946, 0.25789812]","[-0.14795762556352954, -0.14795767457459563, -0.14795755204694427, -0.1479577235856694]",0.17536379396915436,0.07364487648010254,"[-1.0078077, -1.1824603, -0.9375725, -0.7429198]","[0.9690571, 0.7398332, 0.5879193, 0.8208308]","[-79.5588, 10.441201, 100.4412, -169.55879]","[0, 0, 0, 0]","[array([ 2.2294312 , 53.79478   ,  7.        ,  7.        ,  0.19382699,
       -1.2726042 ,  2.1243947 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 2.3044491e+00, -2.9167368e+01,  0.0000000e+00,  0.0000000e+00,
        2.0899728e-01, -7.0563861e-04,  2.1243947e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([   2.0248053 , -117.32062   ,    7.        ,    7.        ,
          0.19382375,    1.2726253 ,    2.1243947 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([1.9265338e+00, 1.4434064e+02, 0.0000000e+00, 0.0000000e+00,
       2.3794395e-01, 6.4332329e-04, 2.1243947e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1, -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([0., 0., 0.])]"
