reward,epsilon,termination,loss,force magnitude,force angle,average force vector,cyl_x_pos,cyl_y_pos,cyl_angle,gate_stats,obstacle_stats,intention_reward,intention_heading,run_time,robots_x_pos,robots_y_pos,robot_angle,robot_failures,env_observations,agent_actions
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,8.592019081115723,"[0.6972365, 0.9165985, 1.473076, 1.6383812]","[128.67163, -141.32837, -51.32836, 38.67164]","[0, 0.0]",-0.98464364,0.3826236,128.67163,0,"[0.07960517, 0.0810675, 0.06551831, -0.6128026]","[0.0, 0.0, 0.0, 0.0]",0.05660814046859741,0.04880166053771973,"[-0.8241946, -0.7841672, -1.1450927, -1.1781325]","[0.18214715, 0.5430727, 0.5831001, 0.22776702]","[128.67163, -141.32837, -51.32836, 38.67164]","[0, 0, 0, 0]","[array([ 1.8332658e+00, -1.3437376e+02,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01,  9.1807323e-08,  2.0211906e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.8649881e+00,  1.2439893e+02,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01, -9.1809639e-08,  2.0211906e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.2229323e+00,  3.6121117e+01,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01, -9.1809333e-08,  2.0211906e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.1900089e+00, -4.4641354e+01,  2.0000000e+01,  2.0000000e+01,
        2.4782756e-01, -9.6664991e-08,  2.0211906e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1, -0.1,  0. ]), array([-0.1,  0.1,  0. ]), array([-0.1, -0.1,  0. ]), array([-0.1, -0.1,  0. ])]"
"[-1.3518293, -1.3518293, -1.3518293, -1.3518293]",0.01,False,32.5173225402832,"[0.7018088, 0.91715276, 1.4665463, 1.6296216]","[128.67163, -141.32837, -51.32836, 38.67164]","[0, 0.0]",-0.98420066,0.3829782,128.67163,0,"[0.07960517, 0.0810675, 0.06551831, -0.6128026]","[-0.01577184889735328, -0.015322076116967231, -0.015714723012852705, -0.014785729285512916]",0.05595347285270691,0.05631613731384277,"[-0.8285686, -0.7896324, -1.1407187, -1.169882]","[0.18761232, 0.5386987, 0.57763493, 0.23437016]","[128.67163, -141.32837, -51.32836, 38.67164]","[0, 0, 0, 0]","[array([ 1.8381680e+00, -1.3452972e+02,  7.0000000e+00,  7.0000000e+00,
        2.4977821e-01, -1.3016598e-01,  2.0208228e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.8689517e+00,  1.2457600e+02,  7.0000000e+00,  7.0000000e+00,
        2.4921010e-01, -9.4597397e-08,  2.0208228e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.2172818 , 36.22775   ,  7.        ,  7.        ,  0.24977821,
        0.13016598,  2.0208228 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 2.1825025e+00, -4.4836288e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -1.0073092e-07,  2.0208228e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1,  0.1,  0. ]), array([0. , 0.1, 0. ]), array([-0.1, -0.1,  0. ])]"
"[-1.3521571, -1.3521571, -1.3521571, -1.3521571]",0.01,False,11.138155937194824,"[0.70642096, 0.9177601, 1.4600209, 1.6286763]","[128.67163, -141.32837, -51.32836, 38.67164]","[0, 0.0]",-0.98330903,0.38369176,128.67163,0,"[0.07960517, 0.0810675, 0.06551831, -0.6128026]","[-0.015410092982991341, -0.015396236020012832, -0.015395069960072005, -0.015380356822444319]",0.05595982074737549,0.06331443786621094,"[-0.8329426, -0.79509753, -1.1363448, -1.1689905]","[0.1930775, 0.5343247, 0.5721697, 0.23508374]","[128.67163, -141.32837, -51.32836, 38.67164]","[0, 0, 0, 0]","[array([   1.8430836 , -134.68486   ,    7.        ,    7.        ,
          0.24278358,   -0.40342146,    2.0200827 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([ 1.8729330e+00,  1.2475232e+02,  7.0000000e+00,  7.0000000e+00,
        2.4106812e-01, -9.7792373e-08,  2.0200827e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.211639  , 36.334923  ,  7.        ,  7.        ,  0.24278358,
        0.40342146,  2.0200827 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 2.1816928e+00, -4.4857433e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -1.0073093e-07,  2.0200827e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0.1,  0. ]), array([0. , 0.1, 0. ]), array([-0.1, -0.1,  0. ])]"
"[-1.352488, -1.352488, -1.352488, -1.352488]",0.01,False,12.027656555175781,"[0.711072, 0.9184204, 1.4535, 1.6277235]","[128.67163, -141.32837, -51.32836, 38.67164]","[0, 0.0]",-0.9824101,0.38441125,128.67163,0,"[0.07960517, 0.0810675, 0.06551831, -0.6128026]","[-0.015413580705977314, -0.015401735503722813, -0.015411926854242863, -0.01539775196344062]",0.05594414845108986,0.07033443450927734,"[-0.8373166, -0.80056274, -1.1319708, -1.1680915]","[0.19854268, 0.5299507, 0.5667046, 0.2358032]","[128.67163, -141.32837, -51.32836, 38.67164]","[0, 0, 0, 0]","[array([   1.8480128 , -134.83916   ,    7.        ,    7.        ,
          0.23579492,   -0.6951742 ,    2.019337  ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([ 1.8769320e+00,  1.2492789e+02,  7.0000000e+00,  7.0000000e+00,
        2.3291671e-01, -1.0121481e-07,  2.0193369e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.206004  , 36.442646  ,  7.        ,  7.        ,  0.23579492,
        0.6951742 ,  2.019337  ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 2.1808770e+00, -4.4878769e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -1.0073096e-07,  2.0193369e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0.1,  0. ]), array([-0.1,  0.1,  0. ]), array([-0.1, -0.1,  0. ])]"
"[-1.3528221, -1.3528221, -1.3528221, -1.3528221]",0.01,False,7.583759784698486,"[0.7157614, 0.9191335, 1.4469836, 1.626763]","[128.67163, -141.32837, -51.32836, 38.67164]","[0, 0.0]",-0.9815038,0.3851366,128.67163,0,"[0.07960517, 0.0810675, 0.06551831, -0.6128026]","[-0.015404970588193012, -0.01540464317658441, -0.015404725029162902, -0.0154044467312765]",0.05594391003251076,0.07744979858398438,"[-0.8416906, -0.8060279, -1.1275967, -1.1671852]","[0.20400786, 0.5255767, 0.56123936, 0.23652858]","[128.67163, -141.32837, -51.32836, 38.67164]","[0, 0, 0, 0]","[array([   1.8529553, -134.99265  ,    7.       ,    7.       ,
          0.2288129,   -1.0071028,    2.0185854,    0.       ,
          0.       ,    0.       ,    0.       ,    0.       ,
          0.       ,    0.       ,    0.       ], dtype=float32), array([ 1.88094866e+00,  1.25102707e+02,  7.00000000e+00,  7.00000000e+00,
        2.24755868e-01, -1.04889864e-07,  2.01858544e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00], dtype=float32), array([ 2.2003767, 36.55092  ,  7.       ,  7.       ,  0.2288129,
        1.0071028,  2.0185854,  0.       ,  0.       ,  0.       ,
        0.       ,  0.       ,  0.       ,  0.       ,  0.       ],
      dtype=float32), array([ 2.18005443e+00, -4.49002991e+01,  2.00000000e+01,  2.00000000e+01,
        2.37827554e-01, -1.00731015e-07,  2.01858544e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0.1,  0. ]), array([-0.1,  0.1,  0. ]), array([-0.1, -0.1,  0. ])]"
"[-1.3548354, -1.3548354, -1.3548354, -1.3548354]",0.01,False,303.3070068359375,"[0.72048825, 0.91989934, 1.4404716, 1.1907964]","[128.67163, -141.32837, -51.32836, 38.67164]","[0, 0.0]",-0.98122764,0.38535872,128.67163,0,"[0.07960517, 0.0810675, 0.06551831, -0.6128026]","[-0.015404839623135325, -0.015404559277915397, -0.015404790511381106, -0.015404495842486932]",0.05594348907470703,0.08450984954833984,"[-0.84606457, -0.8114931, -1.1232227, -1.1670469]","[0.20947304, 0.52120274, 0.5557742, 0.23663789]","[128.67163, -141.32837, -51.32836, 38.67164]","[0, 0, 0, 0]","[array([   1.857911  , -135.14531   ,    7.        ,    7.        ,
          0.22182162,   -1.1303905 ,    2.0183568 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([ 1.8849826e+00,  1.2527678e+02,  7.0000000e+00,  7.0000000e+00,
        2.1740152e-01, -2.3392997e-04,  2.0183568e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.1947575 , 36.659748  ,  7.        ,  7.        ,  0.22181985,
        1.1303996 ,  2.0183568 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 2.1799290e+00, -4.4903549e+01,  0.0000000e+00,  0.0000000e+00,
        2.3800565e-01,  4.6076695e-04,  2.0183568e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0.1,  0. ]), array([-0.1,  0.1,  0. ]), array([-0.1, -0.1,  0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,7.740602016448975,"[0.72525185, 0.9207177, 1.4339644, 1.1898636]","[128.67163, -141.32837, -51.32836, 38.720562]","[0, 0.0]",-0.98123133,0.38535646,128.67163,0,"[0.07960517, 0.0810675, 0.06551831, -0.6128026]","[-0.015404608389303909, -0.015404690241790697, -0.015404675917589983, -0.015404673871276087]",0.05594354867935181,0.09178543090820312,"[-0.85043854, -0.81695825, -1.1188488, -1.167047]","[0.21493822, 0.5168287, 0.550309, 0.23663147]","[128.67163, -141.32837, -51.32836, 38.720562]","[0, 0, 0, 0]","[array([   1.8628799 , -135.29715   ,    7.        ,    7.        ,
          0.21482347,   -1.1660818 ,    2.01836   ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([ 1.8890339e+00,  1.2545011e+02,  7.0000000e+00,  7.0000000e+00,
        2.1040578e-01, -3.8438672e-04,  2.0183599e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.189146  , 36.769135  ,  7.        ,  7.        ,  0.21482064,
        1.1660972 ,  2.01836   ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([  2.1799283 , -44.952305  ,  -0.1       ,   0.        ,
         0.23800541,  -0.04713082,   2.01836   ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0.1,  0. ]), array([-0.1,  0.1,  0. ]), array([-0.1,  0. ,  0. ])]"
"[-2.9451563, -2.9451563, -2.9451563, -2.9451563]",0.01,False,11.812952995300293,"[0.7300515, 0.92098063, 1.4274617, 1.1898881]","[128.67163, -141.32837, -51.32836, 38.872772]","[0, 0.0]",-0.9813878,0.38533428,128.67163,0,"[0.07960517, 0.0810675, 0.06551831, -0.6128026]","[-0.015404641130272734, -0.015404690241790697, -0.015404641130272734, -0.015404657500770136]",0.05594358220696449,0.09952664375305176,"[-0.85481256, -0.81820697, -1.1144748, -1.1670885]","[0.2204034, 0.51592743, 0.54484385, 0.23653609]","[128.67163, -141.32837, -51.32836, 38.872772]","[0, 0, 0, 0]","[array([   1.8678616 , -135.4482    ,    7.        ,    7.        ,
          0.20790263,   -1.167408  ,    2.0185094 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([ 1.8899888e+00,  1.2548674e+02,  7.0000000e+00,  7.0000000e+00,
        2.0900378e-01, -1.4559558e-03,  2.0185094e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.1835427 , 36.87908   ,  7.        ,  7.        ,  0.20773885,
        1.1683285 ,  2.0185094 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([  2.179959  , -45.101902  ,  -0.2       ,   0.1       ,
         0.23796141,  -0.16827023,   2.0185094 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1,  0.1,  0. ]), array([-0.1,  0.1,  0. ]), array([-0.1,  0.1,  0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,13.777482986450195,"[0.73488647, 0.9210102, 1.4209639, 1.1899252]","[128.67163, -141.32837, -51.32836, 39.1337]","[0, 0.0]",-0.98142815,0.38533568,128.67163,0,"[0.07960517, 0.0810675, 0.06551831, -0.6128026]","[-0.015404659547082922, -0.015404610435613475, -0.015404690241790697, -0.015404641130272734]",0.055943578481674194,0.10671257972717285,"[-0.85918653, -0.8182468, -1.1101007, -1.1671274]","[0.22586858, 0.515929, 0.53937864, 0.23650472]","[128.67163, -141.32837, -51.32836, 39.1337]","[0, 0, 0, 0]","[array([   1.8728564 , -135.59843   ,    7.        ,    7.        ,
          0.20092975,   -1.1991936 ,    2.0185492 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([ 1.8900275e+00,  1.2548703e+02,  7.0000000e+00,  7.0000000e+00,
        2.0900422e-01, -1.5120864e-03,  2.0185492e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.1779473 , 36.989597  ,  7.        ,  7.        ,  0.20071344,
        1.2004861 ,  2.0185492 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([  2.1799943 , -45.3619    ,  -0.3       ,   0.2       ,
         0.23798081,  -0.42283842,   2.0185492 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([0., 0., 0.]), array([-0.1,  0.1,  0. ]), array([-0.1,  0.1,  0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,18.99700164794922,"[0.73975605, 0.96732736, 1.4144708, 1.1899642]","[128.67163, -141.32837, -51.32836, 39.50335]","[0, 0.0]",-0.9814568,0.38532928,128.67163,0,"[0.07960517, 0.0810675, 0.06551831, -0.6128026]","[-0.015404657500770136, -0.01540464317658441, -0.015404626806094668, -0.015404675917589983]",0.05594358220696449,0.11395955085754395,"[-0.86356056, -0.8182545, -1.1057268, -1.1671662]","[0.23133376, 0.5159281, 0.5339135, 0.23647317]","[128.67163, -141.32837, -51.32836, 39.50335]","[0, 0, 0, 0]","[array([   1.877864 , -135.74786  ,    7.       ,    7.       ,
          0.1939437,   -1.2345997,    2.0185761,    0.       ,
          0.       ,    0.       ,    0.       ,    0.       ,
          0.       ,    0.       ,    0.       ], dtype=float32), array([ 1.8900347e+00,  1.2548712e+02,  0.0000000e+00,  0.0000000e+00,
        2.0902403e-01, -3.9226413e-03,  2.0185761e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.1723602 , 37.100677  ,  7.        ,  7.        ,  0.19370154,
        1.2361434 ,  2.0185761 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([  2.1800296 , -45.730618  ,  -0.4       ,   0.3       ,
         0.23800443,  -0.7892885 ,   2.0185761 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([0., 0., 0.]), array([-0.1,  0.1,  0. ]), array([-0.1,  0.1,  0. ])]"
