reward,epsilon,termination,loss,force magnitude,force angle,average force vector,cyl_x_pos,cyl_y_pos,cyl_angle,gate_stats,obstacle_stats,intention_reward,intention_heading,run_time,robots_x_pos,robots_y_pos,robot_angle,robot_failures,env_observations,agent_actions
"[-3.883251, -2.0, -2.0, -2.0]",0.01,False,6.857919216156006,"[1.5565213, 1.0209469, 0.7363219, 1.6591055]","[10.212115, 100.21211, -169.78789, -79.78789]","[0, 0.0]",-1.0893431,0.28926498,10.212115,0,"[0.057012547, -0.93999255, 0.054211345, -1.0674144]","[0.0, 0.0, 0.0, 0.0]",-0.030789364129304886,0.007935285568237305,"[-1.3420527, -1.0438182, -0.8366333, -1.1332811]","[0.24374016, 0.036555246, 0.3347898, 0.53316647]","[10.212115, 100.21211, -169.78789, -79.78789]","[0, 0, 0, 0]","[array([ 2.3547018e+00, -1.6153564e+01,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01,  9.1842708e-08,  2.1092720e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  8.0507427e-01,  1.0000000e+00,
        7.8176774e-02,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.04414511e+00, -1.01236786e+02,  7.00000000e+00,  7.00000000e+00,
        2.56777555e-01,  9.18074647e-08,  2.10927200e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00], dtype=float32), array([1.8668975e+00, 1.5945718e+02, 7.0000000e+00, 7.0000000e+00,
       2.5677755e-01, 9.1808474e-08, 2.1092720e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32), array([ 2.1988986e+00,  6.5755531e+01,  2.0000000e+01,  2.0000000e+01,
        2.4782756e-01, -4.9891168e-13,  2.1092720e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0.1,  0. ]), array([-0.1, -0.1,  0. ]), array([ 0. , -0.1,  0. ]), array([-0.1,  0.1,  0. ])]"
"[-3.1816292, -1.6896582, -1.6896582, -1.6896582]",0.01,False,23.565149307250977,"[1.5498607, 1.0210892, 0.74166185, 1.6507878]","[10.212115, 100.21211, -169.78789, -79.78789]","[0, 0.0]",-1.0892425,0.2887065,10.212115,0,"[0.057012547, -0.93999255, 0.054211345, -1.0674144]","[-0.004674471857604834, -0.004720339252539452, -0.005734210670631734, -0.0051206763023294855]",-0.02977929264307022,0.016115188598632812,"[-1.3351636, -1.0450592, -0.8435224, -1.1314075]","[0.2449812, 0.04344435, 0.33354875, 0.5227664]","[10.212115, 100.21211, -169.78789, -79.78789]","[0, 0, 0, 0]","[array([ 2.3479788e+00, -1.6201088e+01,  7.0000000e+00,  7.0000000e+00,
        2.4977821e-01, -1.3016598e-01,  2.1090958e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  4.8997784e-01,  1.0000000e+00,
        1.9930245e-03,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.0455205e+00, -1.0142910e+02,  7.0000000e+00,  7.0000000e+00,
        2.4921010e-01,  9.4390039e-08,  2.1090958e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([1.8734540e+00, 1.5953230e+02, 7.0000000e+00, 7.0000000e+00,
       2.4977821e-01, 1.3016617e-01, 2.1090958e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32), array([ 2.1945803e+00,  6.6007088e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -4.6305277e-13,  2.1090958e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0.1,  0. ]), array([-0.1,  0. ,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-2.8855321, -1.6901476, -1.6901476, -1.6901476]",0.01,False,12.757158279418945,"[1.5432032, 1.0212793, 0.7470292, 1.6498905]","[10.212115, 100.21211, -169.78789, -79.78789]","[0, 0.0]",-1.0890399,0.28758264,10.212115,0,"[0.057012547, -0.93999255, 0.054211345, -1.0674144]","[-0.004373022591166342, -0.004882361764643739, -0.004752186295807093, -0.007432505613052087]",-0.030746834352612495,0.0243680477142334,"[-1.3282745, -1.0463003, -0.85041153, -1.1312051]","[0.24622226, 0.05033346, 0.3323077, 0.52164257]","[10.212115, 100.21211, -169.78789, -79.78789]","[0, 0, 0, 0]","[array([  2.3412578 , -16.248884  ,   7.        ,   7.        ,
         0.24278358,  -0.40342146,   2.1087418 ,   0.        ,
         0.        ,   0.        ,   0.3509448 ,   0.84443974,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.04691935e+00, -1.01621155e+02,  7.00000000e+00,  7.00000000e+00,
        2.41068125e-01,  9.71510303e-08,  2.10874176e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00], dtype=float32), array([  1.8800136 , 159.6069    ,   7.        ,   7.        ,
         0.24278358,   0.40342167,   2.1087418 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.1941161e+00,  6.6034332e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -4.6639613e-13,  2.1087418e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0.1,  0. ]), array([-0.1,  0. ,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-2.5889053, -1.6906414, -1.6906414, -1.6906414]",0.01,False,8.464330673217773,"[1.5365487, 1.0215175, 0.75242335, 1.6489861]","[10.212115, 100.21211, -169.78789, -79.78789]","[0, 0.0]",-1.0888358,0.28644943,10.212115,0,"[0.057012547, -0.93999255, 0.054211345, -1.0674144]","[-0.004661576986285443, -0.0049881964639584275, -0.004847215017522721, -0.0069513219788879255]",-0.030917327851057053,0.032701969146728516,"[-1.3213854, -1.0475414, -0.85730064, -1.131001]","[0.2474633, 0.057222567, 0.33106664, 0.52050936]","[10.212115, 100.21211, -169.78789, -79.78789]","[0, 0, 0, 0]","[array([  2.3345382 , -16.296955  ,   7.        ,   7.        ,
         0.23579492,  -0.6951742 ,   2.1083853 ,   0.        ,
         0.        ,   0.        ,   0.24553077,   0.652733  ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.0483408e+00, -1.0181294e+02,  7.0000000e+00,  7.0000000e+00,
        2.3291671e-01,  1.0010547e-07,  2.1083853e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.8865764 , 159.68098   ,   7.        ,   7.        ,
         0.23579492,   0.6951744 ,   2.1083853 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.1936488e+00,  6.6061813e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -4.6806780e-13,  2.1083853e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1,  0. ,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-2.3573136, -1.6911393, -1.6911393, -1.6911393]",0.01,False,45.460296630859375,"[1.5298973, 1.0218036, 0.75784373, 1.6480746]","[10.212115, 100.21211, -169.78789, -79.78789]","[0, 0.0]",-1.08863,0.285307,10.212115,0,"[0.057012547, -0.93999255, 0.054211345, -1.0674144]","[-0.00471337714403397, -0.004945366831893061, -0.0047637546247280005, -0.006401464757301745]",-0.030844133347272873,0.041178226470947266,"[-1.3144963, -1.0487823, -0.86418974, -1.1307951]","[0.24870434, 0.06411167, 0.3298256, 0.5193669]","[10.212115, 100.21211, -169.78789, -79.78789]","[0, 0, 0, 0]","[array([  2.3278203 , -16.345303  ,   7.        ,   7.        ,
         0.2288129 ,  -1.0071028 ,   2.1080265 ,   0.        ,
         0.        ,   0.        ,   0.16560647,   0.5005678 ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.0497854e+00, -1.0200446e+02,  7.0000000e+00,  7.0000000e+00,
        2.2475587e-01,  1.0327477e-07,  2.1080265e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.8931425, 159.75455  ,   7.       ,   7.       ,   0.2288129,
         1.0071031,   2.1080265,   0.       ,   0.       ,   0.       ,
         0.       ,   0.       ,   0.       ,   0.       ,   0.       ],
      dtype=float32), array([ 2.1931779e+00,  6.6089531e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -4.6639613e-13,  2.1080265e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1,  0. ,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-2.1737075, -1.6889108, -1.6889108, -1.6889108]",0.01,False,15.751689910888672,"[1.523249, 1.0221374, 0.76328987, 1.2442632]","[10.212115, 100.21211, -169.78789, -79.78789]","[0, 0.0]",-1.0885663,0.28495842,10.212115,0,"[0.057012547, -0.93999255, 0.054211345, -1.0674144]","[-0.004691103856895418, -0.0048248588981314455, -0.00463610225653821, -0.005847083190800517]",-0.030454182997345924,0.0496363639831543,"[-1.3076072, -1.0500234, -0.87107885, -1.1307648]","[0.2499454, 0.07100078, 0.32858455, 0.5191933]","[10.212115, 100.21211, -169.78789, -79.78789]","[0, 0, 0, 0]","[array([  2.321104  , -16.39393   ,   7.        ,   7.        ,
         0.22182162,  -1.1303905 ,   2.107916  ,   0.        ,
         0.        ,   0.        ,   0.10500835,   0.37978828,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.0512526e+00, -1.0219571e+02,  7.0000000e+00,  7.0000000e+00,
        2.1740152e-01, -2.3371491e-04,  2.1079161e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.8997115 , 159.8276    ,   7.        ,   7.        ,
         0.22181985,   1.1303998 ,   2.107916  ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([2.1931076e+00, 6.6093750e+01, 0.0000000e+00, 0.0000000e+00,
       2.3800565e-01, 4.6086762e-04, 2.1079161e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1,  0. ,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-2.342984, -2.0, -2.0, -2.0]",0.01,False,7.019219875335693,"[1.516604, 1.0225192, 0.76876116, 1.2434328]","[10.212115, 100.21211, -169.78789, -79.83681]","[0, 0.0]",-1.0885674,0.28496253,10.212115,0,"[0.057012547, -0.93999255, 0.054211345, -1.0674144]","[-0.004573327991963083, -0.004660178047445562, -0.004522948418153261, -0.005406327302290959]",-0.03003339283168316,0.058066606521606445,"[-1.3007181, -1.0512645, -0.87796795, -1.130763]","[0.25118646, 0.07788989, 0.3273435, 0.519198]","[10.212115, 100.21211, -169.78789, -79.83681]","[0, 0, 0, 0]","[array([  2.3143895 , -16.442842  ,   7.        ,   7.        ,
         0.21482266,  -1.166092  ,   2.1079178 ,   0.        ,
         0.        ,   0.        ,   0.05906321,   0.2839208 ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.0527427e+00, -1.0238669e+02,  7.0000000e+00,  7.0000000e+00,
        2.1040577e-01, -1.6607980e-04,  2.1079178e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.9062836 , 159.90016   ,   7.        ,   7.        ,
         0.21482144,   1.166099  ,   2.1079178 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.1931069e+00,  6.6142548e+01,  0.0000000e+00, -1.0000000e-01,
        2.3800573e-01,  4.8680760e-02,  2.1079178e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1,  0. ,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-2.8770034, -2.6449485, -2.6449485, -2.6449485]",0.01,False,7.934453010559082,"[1.509962, 1.0226644, 0.77425706, 1.2426531]","[10.212115, 100.21211, -169.78789, -79.940094]","[0, 0.0]",-1.0886458,0.28508633,10.212115,0,"[0.057012547, -0.93999255, 0.054211345, -1.0674144]","[-0.004447913465397635, -0.0045215776171245725, -0.0044271106984876685, -0.005053785094643715]",-0.0297140721231699,0.06638002395629883,"[-1.293829, -1.0515913, -0.88485706, -1.130767]","[0.2524275, 0.079392426, 0.32610244, 0.5192992]","[10.212115, 100.21211, -169.78789, -79.940094]","[0, 0, 0, 0]","[array([  2.3076766 , -16.492037  ,   7.        ,   7.        ,
         0.20776603,  -1.1682599 ,   2.1080122 ,   0.        ,
         0.        ,   0.        ,   0.02422787,   0.207827  ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.0531268e+00, -1.0242824e+02,  7.0000000e+00,  7.0000000e+00,
        2.0900483e-01, -1.3471565e-04,  2.1080122e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.9128588 , 159.97221   ,   7.        ,   7.        ,
         0.20787546,   1.1676451 ,   2.1080122 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.1931345 , 66.243286  ,  0.        , -0.2       ,  0.23797026,
        0.13524836,  2.1080122 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32)]","[array([0., 0., 0.]), array([-0.1,  0. ,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-2.844944, -2.6975157, -2.6975157, -2.6975157]",0.01,False,13.38459587097168,"[1.5033233, 1.0227436, 0.77977705, 1.2419189]","[10.212115, 100.21211, -169.78789, -80.09774]","[0, 0.0]",-1.0887412,0.28521544,10.212115,0,"[0.057012547, -0.93999255, 0.054211345, -1.0674144]","[-0.004353902488574479, -0.004410805132136542, -0.004352533497034128, -0.004781863869838476]",-0.02948038838803768,0.07472491264343262,"[-1.2869399, -1.0516863, -0.89174616, -1.1307923]","[0.25366855, 0.079521626, 0.3248614, 0.51944196]","[10.212115, 100.21211, -169.78789, -80.09774]","[0, 0, 0, 0]","[array([  2.3009653 , -16.54152   ,   7.        ,   7.        ,
         0.20069358,  -1.1683198 ,   2.1081243 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.14742835,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.0532269e+00, -1.0243174e+02,  7.0000000e+00,  7.0000000e+00,
        2.0900482e-01, -3.8329083e-05,  2.1081243e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.919437  , 160.04378   ,   7.        ,   7.        ,
         0.20094493,   1.1668584 ,   2.1081243 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.193193  , 66.39747   ,  0.        , -0.3       ,  0.2379713 ,
        0.27571616,  2.1081243 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1,  0. ,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
"[-2.0994875, -2.0, -2.0, -2.0]",0.01,False,10.015276908874512,"[1.496688, 1.0547024, 0.78532064, 1.2411697]","[10.212115, 100.21211, -169.78789, -80.309746]","[0, 0.0]",-1.0887765,0.28527725,10.212115,0,"[0.057012547, -0.93999255, 0.054211345, -1.0674144]","[-0.004285738764010394, -0.0043215265789726676, -0.004292846317824894, -0.004571395722618887]",-0.029311517253518105,0.08330726623535156,"[-1.2800508, -1.0516993, -0.89863527, -1.1308028]","[0.2549096, 0.07953427, 0.32362035, 0.51955163]","[10.212115, 100.21211, -169.78789, -80.309746]","[0, 0, 0, 0]","[array([  2.294256  , -16.591291  ,   7.        ,   7.        ,
         0.19366995,  -1.1908481 ,   2.1081676 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.09948755,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.05324030e+00, -1.02432076e+02,  0.00000000e+00,  0.00000000e+00,
        2.09057152e-01,  3.58786015e-03,  2.10816765e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00], dtype=float32), array([  1.9260181 , 160.11484   ,   7.        ,   7.        ,
         0.19396877,   1.1890135 ,   2.1081676 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.1932292 , 66.60675   ,  0.        , -0.4       ,  0.23801407,
        0.47981283,  2.1081676 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32)]","[array([ 0. , -0.1,  0. ]), array([-0.1,  0. ,  0. ]), array([ 0. , -0.1,  0. ]), array([ 0. , -0.1,  0. ])]"
