reward,epsilon,termination,loss,force magnitude,force angle,average force vector,cyl_x_pos,cyl_y_pos,cyl_angle,gate_stats,obstacle_stats,intention_reward,intention_heading,run_time,robots_x_pos,robots_y_pos,robot_angle,robot_failures,env_observations,agent_actions
"[-2.0, -2.0, -2.0, -2.0]",0.22926000000200475,False,15.687106132507324,"[0.7973675, 1.082497, 0.75057244, 0.21253508]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0.0]",-0.6107837,-0.11999373,-75.26369,0,"[0.05625964, 0.33449236, 0.07909314, 0.9251086]","[0.0, 0.0, 0.0, 0.0]",0.23847399652004242,0.00713038444519043,"[-0.6761005, -0.859115, -0.54546696, -0.37110803]","[0.12833758, -0.18531048, -0.36832502, -0.056953587]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0, 0, 0]","[array([1.6810067e+00, 7.0885139e+01, 7.0000000e+00, 7.0000000e+00,
       2.5677755e-01, 6.3644791e-08, 1.6152469e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32), array([ 1.8683277e+00, -9.0440626e+00,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01, -9.1809056e-08,  1.6152469e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.5887516e+00, -9.1331306e+01,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01,  8.2390237e-08,  1.6152469e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.3722904e+00,  1.6764229e+02,  2.0000000e+01,  2.0000000e+01,
        2.4782756e-01, -3.3439431e-08,  1.6152469e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ])]"
"[-2.983343, -2.983343, -2.983343, -2.983343]",0.22925000000200474,False,5.484034538269043,"[0.79299784, 1.0755017, 0.74666625, 0.20215948]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0.0]",-0.6113325,-0.12013807,-75.26369,0,"[0.05625964, 0.33449236, 0.07909314, 0.9251086]","[-0.2677579876605414, -0.25328260397187063, -0.266543526200403, -0.2496913041670097]",0.23697905242443085,0.014358043670654297,"[-0.67431986, -0.8523453, -0.5472475, -0.3813279]","[0.12156783, -0.1835299, -0.36155528, -0.059641644]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0, 0, 0]","[array([ 1.6787274 , 71.11088   ,  7.        ,  7.        ,  0.24977821,
       -0.13016601,  1.6158049 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.8614151e+00, -9.0779324e+00,  7.0000000e+00,  7.0000000e+00,
        2.4921010e-01, -9.4462678e-08,  1.6158049e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.5889295 , -91.58365   ,   7.        ,   7.        ,
         0.24977821,   0.13016616,   1.6158049 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 1.3826149e+00,  1.6773601e+02,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -3.4845936e-08,  1.6158049e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([ 0.1, -0.1,  0. ]), array([0., 0., 0.]), array([0.1, 0. , 0. ])]"
"[-2.983366, -2.983366, -2.983366, -2.983366]",0.22924000000200473,False,2.3913369178771973,"[0.78866607, 1.0685064, 0.74280554, 0.20103943]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0.0]",-0.61243695,-0.12042856,-75.26369,0,"[0.05625964, 0.33449236, 0.07909314, 0.9251086]","[-0.26456754574675656, -0.2644852995104311, -0.2644899301328485, -0.2645507974663194]",0.23618462681770325,0.021649837493896484,"[-0.6725393, -0.8455755, -0.54902816, -0.3824323]","[0.114798084, -0.1817493, -0.35478553, -0.05993213]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0, 0, 0]","[array([ 1.6764743 , 71.337234  ,  7.        ,  7.        ,  0.24278358,
       -0.4034215 ,  1.6169279 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.8545032e+00, -9.1120548e+00,  7.0000000e+00,  7.0000000e+00,
        2.4106812e-01, -9.7373906e-08,  1.6169279e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.5891384 , -91.83594   ,   7.        ,   7.        ,
         0.24278358,   0.40342164,   1.6169279 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 1.3837308e+00,  1.6774605e+02,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -3.4845932e-08,  1.6169279e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([ 0.1, -0.1,  0. ]), array([0.1, 0. , 0. ]), array([-0.1,  0. ,  0. ])]"
"[-2.9833896, -2.9833896, -2.9833896, -2.9833896]",0.22923000000200472,False,7.5288262367248535,"[0.78437287, 1.0615112, 0.7389909, 0.19991037]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0.0]",-0.6135505,-0.120721444,-75.26369,0,"[0.05625964, 0.33449236, 0.07909314, 0.9251086]","[-0.2628787147367544, -0.2623095215416571, -0.2628647640217371, -0.26233480649149377]",0.2360270917415619,0.028650760650634766,"[-0.67075866, -0.8388058, -0.5508087, -0.38354585]","[0.10802834, -0.1799687, -0.3480158, -0.060225017]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0, 0, 0]","[array([ 1.6742475 , 71.564186  ,  7.        ,  7.        ,  0.23579492,
       -0.6951742 ,  1.6180602 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.8475918e+00, -9.1464329e+00,  7.0000000e+00,  7.0000000e+00,
        2.3291671e-01, -1.0049034e-07,  1.6180602e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.5893781 , -92.08816   ,   7.        ,   7.        ,
         0.23579492,   0.6951744 ,   1.6180602 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 1.3848560e+00,  1.6775616e+02,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -3.4845929e-08,  1.6180602e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([ 0.1, -0.1,  0. ]), array([0., 0., 0.]), array([-0.1,  0. ,  0. ])]"
"[-2.9834132, -2.9834132, -2.9834132, -2.9834132]",0.2292200000020047,False,2.5234053134918213,"[0.7801188, 1.054516, 0.7352232, 0.19877233]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0.0]",-0.61467314,-0.12101673,-75.26369,0,"[0.05625964, 0.33449236, 0.07909314, 0.9251086]","[-0.2625443637096815, -0.2625363645215648, -0.262545185766496, -0.2625333292835823]",0.23603688180446625,0.03591108322143555,"[-0.6689781, -0.832036, -0.55258936, -0.3846685]","[0.10125859, -0.1781881, -0.34124604, -0.060520303]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0, 0, 0]","[array([ 1.672047 , 71.79175  ,  7.       ,  7.       ,  0.2288129,
       -1.007103 ,  1.6192018,  0.       ,  0.       ,  0.       ,
        0.       ,  0.       ,  0.       ,  0.       ,  0.       ],
      dtype=float32), array([ 1.8406811e+00, -9.1810684e+00,  7.0000000e+00,  7.0000000e+00,
        2.2475587e-01, -1.0383471e-07,  1.6192018e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.5896486, -92.34029  ,   7.       ,   7.       ,   0.2288129,
         1.0071031,   1.6192018,   0.       ,   0.       ,   0.       ,
         0.       ,   0.       ,   0.       ,   0.       ,   0.       ],
      dtype=float32), array([ 1.3859905e+00,  1.6776634e+02,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -3.4845929e-08,  1.6192018e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([ 0.1, -0.1,  0. ]), array([0., 0., 0.]), array([-0.1,  0. ,  0. ])]"
"[-2.9829633, -2.9829633, -2.9829633, -2.9829633]",0.2292100000020047,False,1.2174662351608276,"[0.7759046, 1.0475209, 0.731503, 0.38957572]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0.0]",-0.61501557,-0.12110773,-75.26369,0,"[0.05625964, 0.33449236, 0.07909314, 0.9251086]","[-0.26256513678802407, -0.2625447747379521, -0.2625635558595163, -0.26254708282485273]",0.23603211343288422,0.04346728324890137,"[-0.66719747, -0.8252663, -0.5543699, -0.3848392]","[0.094488844, -0.1764075, -0.3344763, -0.06056414]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0, 0, 0]","[array([ 1.6698729 , 72.0199    ,  7.        ,  7.        ,  0.22182162,
       -1.1303905 ,  1.6195501 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.8337711e+00, -9.2159653e+00,  7.0000000e+00,  7.0000000e+00,
        2.1740152e-01, -2.3392877e-04,  1.6195501e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.5899497 , -92.59233   ,   7.        ,   7.        ,
         0.22181985,   1.1303998 ,   1.6195501 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([1.3861629e+00, 1.6776784e+02, 0.0000000e+00, 0.0000000e+00,
       2.3800565e-01, 4.6083279e-04, 1.6195501e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([ 0.1, -0.1,  0. ]), array([0.1, 0. , 0. ]), array([0., 0., 0.])]"
"[-2.0, -2.0, -2.0, -2.0]",0.2292000000020047,False,1.6043674945831299,"[0.7717309, 1.0405259, 0.7278311, 0.38675052]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0.0]",-0.61501694,-0.12110809,-75.26369,0,"[0.05625964, 0.33449236, 0.07909314, 0.9251086]","[-0.26255501891538957, -0.2625548608249427, -0.26255514538777613, -0.2625547975887753]",0.23603208363056183,0.05089163780212402,"[-0.6654169, -0.8184965, -0.55615056, -0.38490835]","[0.0877191, -0.1746269, -0.32770655, -0.060582187]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0, 0, 0]","[array([ 1.6677254 , 72.24865   ,  7.        ,  7.        ,  0.21482307,
       -1.1675984 ,  1.6195514 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.8268619e+00, -9.2511263e+00,  7.0000000e+00,  7.0000000e+00,
        2.1040010e-01, -2.4442002e-04,  1.6195514e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.5902817 , -92.84428   ,   7.        ,   7.        ,
         0.21482126,   1.1676083 ,   1.6195514 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([1.3862327e+00, 1.6776846e+02, 1.0000000e-01, 1.0000000e-01,
       2.3793562e-01, 4.9523351e-04, 1.6195514e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([0.1, 0.1, 0. ]), array([ 0.1, -0.1,  0. ]), array([-0.1,  0.1,  0. ]), array([0.1, 0.1, 0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.22919000000200468,False,2.823845148086548,"[0.7675983, 1.0390933, 0.72420835, 0.38382316]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0.0]",-0.6149864,-0.121100314,-75.26369,0,"[0.05625964, 0.33449236, 0.07909314, 0.9251086]","[-0.26255495567920606, -0.2625546711164598, -0.26255501891538957, -0.2625546711164598]",0.23603200912475586,0.05804324150085449,"[-0.6636363, -0.81711036, -0.5579311, -0.384878]","[0.08094935, -0.1742613, -0.3209368, -0.060573798]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0, 0, 0]","[array([ 1.6656046 , 72.47798   ,  7.        ,  7.        ,  0.20782414,
       -1.1982396 ,  1.6195204 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.8254471e+00, -9.2583904e+00,  7.0000000e+00,  7.0000000e+00,
        2.0899799e-01, -5.7937822e-04,  1.6195204e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.5906445 , -93.09611   ,   7.        ,   7.        ,
         0.20782188,   1.1982528 ,   1.6195204 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([1.3862021e+00, 1.6776817e+02, 2.0000000e-01, 2.0000000e-01,
       2.3793559e-01, 6.4839347e-04, 1.6195204e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([0.1, 0.1, 0. ]), array([ 0. , -0.1,  0. ]), array([0. , 0.1, 0. ]), array([0.1, 0.1, 0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.22918000000200467,False,1.7042044401168823,"[0.76350754, 1.0390933, 0.7206353, 0.38092732]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0.0]",-0.6149864,-0.121100314,-75.26369,0,"[0.05625964, 0.33449236, 0.07909314, 0.9251086]","[-0.2625547975887753, -0.26255495567920606, -0.26255448140803517, -0.2625547975887753]",0.23603203892707825,0.06530928611755371,"[-0.6618557, -0.81711036, -0.55971175, -0.384878]","[0.074179605, -0.1742613, -0.31416705, -0.06057384]","[-75.26369, 14.736317, 104.73631, -165.26369]","[0, 0, 0, 0]","[array([ 1.6635104 , 72.70789   ,  7.        ,  7.        ,  0.20082574,
       -1.2400025 ,  1.6195204 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.8254471e+00, -9.2583904e+00,  7.0000000e+00,  7.0000000e+00,
        2.0899799e-01, -5.7937828e-04,  1.6195204e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.5910379 , -93.347824  ,   7.        ,   7.        ,
         0.20082346,   1.2400167 ,   1.6195204 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([1.3862021e+00, 1.6776817e+02, 3.0000001e-01, 3.0000001e-01,
       2.3793559e-01, 6.3827803e-04, 1.6195204e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([ 0.1, -0.1,  0. ]), array([-0.1,  0. ,  0. ]), array([0.1, 0.1, 0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.22917000000200466,False,8.246004104614258,"[0.75945926, 0.8354857, 0.7171128, 0.38236678]","[-75.26369, 14.736317, 104.73631, -165.3126]","[0, 0.0]",-0.6149864,-0.121100314,-75.26369,0,"[0.05625964, 0.33449236, 0.07909314, 0.9251086]","[-0.2625548608249427, -0.2625546711164598, -0.26255473435261434, -0.2625549240611167]",0.23603206872940063,0.07261347770690918,"[-0.6600751, -0.81711036, -0.5614923, -0.38486132]","[0.06740986, -0.1742613, -0.3073973, -0.060630336]","[-75.26369, 14.736317, 104.73631, -165.3126]","[0, 0, 0, 0]","[array([ 1.6614432 , 72.93838   ,  7.        ,  7.        ,  0.19382742,
       -1.2847812 ,  1.6195204 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.8254471e+00, -9.2583904e+00,  0.0000000e+00,  0.0000000e+00,
        2.0899799e-01, -5.7937828e-04,  1.6195204e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  1.591462  , -93.59941   ,   7.        ,   7.        ,
         0.19382516,   1.2847964 ,   1.6195204 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([1.3861879e+00, 1.6781946e+02, 3.0000001e-01, 2.0000002e-01,
       2.3793736e-01, 3.5382744e-02, 1.6195204e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([ 0.1, -0.1,  0. ]), array([-0.1,  0. ,  0. ]), array([ 0. , -0.1,  0. ])]"
