reward,epsilon,termination,loss,force magnitude,force angle,average force vector,cyl_x_pos,cyl_y_pos,cyl_angle,gate_stats,obstacle_stats,intention_reward,intention_heading,run_time,robots_x_pos,robots_y_pos,robot_angle,robot_failures,env_observations,agent_actions
"[-2.0245376, -2.0, -2.0, -2.0837247]",0.01,False,50.099300384521484,"[1.5266244, 0.9794682, 1.4962363, 2.269395]","[46.97948, 136.97948, -133.02052, -43.02052]","[0, 0.0]",-1.0859134,0.94515765,46.97948,0,"[0.053570665, 0.2704514, 0.054456837, -0.86178327]","[0.0, 0.0, 0.0, 0.0]",-0.0024364253040403128,0.008105039596557617,"[-1.2611026, -0.8981809, -0.9107243, -1.2671025]","[0.7574252, 0.7699685, 1.1328901, 1.1142405]","[46.97948, 136.97948, -133.02052, -43.02052]","[0, 0, 0, 0]","[array([ 2.3845918e+00, -6.5499321e+01,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01,  9.1809277e-08,  2.2900562e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  2.4537522e-02,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.0483999e+00, -1.5905867e+02,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01, -9.1809873e-08,  2.2900562e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.2213302e+00,  1.0235634e+02,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01, -9.1811053e-08,  2.2900562e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.5261207e+00,  1.6847223e+01,  2.0000000e+01,  2.0000000e+01,
        2.4782756e-01, -9.6665197e-08,  2.2900562e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        8.3724797e-02,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ])]"
"[-1.0529041, -1.0525053, -1.0525053, -1.0716153]",0.01,False,114.81596374511719,"[1.5242982, 0.98645926, 1.49433, 2.2588303]","[46.97948, 136.97948, -133.02052, -43.02052]","[0, 0.0]",-1.0854986,0.9447705,46.97948,0,"[0.053570665, 0.2704514, 0.054456837, -0.86178327]","[-2.9293673181940427e-05, -0.00010995362615184856, -3.7442675926424585e-05, -0.00031048142079115326]",-0.0025937517639249563,0.016147613525390625,"[-1.2563267, -0.9032987, -0.9155001, -1.2593765]","[0.7625429, 0.77474433, 1.1277723, 1.1070307]","[46.97948, 136.97948, -133.02052, -43.02052]","[0, 0, 0, 0]","[array([ 2.3816972e+00, -6.5652557e+01,  7.0000000e+00,  7.0000000e+00,
        2.4977821e-01, -1.3016598e-01,  2.2895186e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  3.9883939e-04,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 2.0549390e+00, -1.5912843e+02,  7.0000000e+00,  7.0000000e+00,
        2.4921010e-01, -9.4597759e-08,  2.2895186e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  2.2228386 , 102.532585  ,   7.        ,   7.        ,
         0.24977821,   0.13016598,   2.2895186 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.5160086e+00,  1.6916969e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -1.0073106e-07,  2.2895186e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        1.9110061e-02,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ])]"
"[-1.0525563, -1.0525563, -1.0525563, -1.0525563]",0.01,False,16.658296585083008,"[1.5220007, 0.99345034, 1.4924542, 2.2576885]","[46.97948, 136.97948, -133.02052, -43.02052]","[0, 0.0]",-1.0846636,0.94399136,46.97948,0,"[0.053570665, 0.2704514, 0.054456837, -0.86178327]","[-3.3198936028600023e-05, -3.0447030292757304e-05, -4.27379679528439e-05, -3.361314516781011e-05]",-0.0023962175473570824,0.02387833595275879,"[-1.2515509, -0.90841645, -0.9202759, -1.2585416]","[0.7676607, 0.77952015, 1.1226546, 1.1062517]","[46.97948, 136.97948, -133.02052, -43.02052]","[0, 0, 0, 0]","[array([  2.37882   , -65.80616   ,   7.        ,   7.        ,
         0.24278358,  -0.40342146,   2.2884367 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.0614812e+00, -1.5919775e+02,  7.0000000e+00,  7.0000000e+00,
        2.4106812e-01, -9.7792785e-08,  2.2884367e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  2.224368  , 102.7086    ,   7.        ,   7.        ,
         0.24278358,   0.40342146,   2.2884367 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.5149162e+00,  1.6924540e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -1.0073109e-07,  2.2884367e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ])]"
"[-1.0526078, -1.0526078, -1.0526078, -1.0526078]",0.01,False,51.211483001708984,"[1.5197319, 1.0004416, 1.4906088, 2.2565374]","[46.97948, 136.97948, -133.02052, -43.02052]","[0, 0.0]",-1.0838218,0.94320583,46.97948,0,"[0.053570665, 0.2704514, 0.054456837, -0.86178327]","[-2.8334802318896735e-05, -2.9159927203648017e-05, -3.0449381981156876e-05, -2.9799679619912922e-05]",-0.002404899336397648,0.031691551208496094,"[-1.246775, -0.9135342, -0.92505175, -1.2576997]","[0.77277845, 0.784296, 1.1175369, 1.1054661]","[46.97948, 136.97948, -133.02052, -43.02052]","[0, 0, 0, 0]","[array([  2.3759599 , -65.96014   ,   7.        ,   7.        ,
         0.23579492,  -0.6951742 ,   2.2873456 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.06802654e+00, -1.59266617e+02,  7.00000000e+00,  7.00000000e+00,
        2.32916713e-01, -1.01215285e-07,  2.28734565e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00], dtype=float32), array([  2.2259185 , 102.88437   ,   7.        ,   7.        ,
         0.23579492,   0.6951742 ,   2.2873456 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.5138144e+00,  1.6932178e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -1.0073109e-07,  2.2873456e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ])]"
"[-1.0526599, -1.0526599, -1.0526599, -1.0526599]",0.01,False,75.78824615478516,"[1.517492, 1.0074329, 1.4887941, 2.2553768]","[46.97948, 136.97948, -133.02052, -43.02052]","[0, 0.0]",-1.0829731,0.9424138,46.97948,0,"[0.053570665, 0.2704514, 0.054456837, -0.86178327]","[-2.854049419565019e-05, -2.8504098692594404e-05, -2.8624046248815205e-05, -2.849369477664343e-05]",-0.002404121682047844,0.03984808921813965,"[-1.2419993, -0.918652, -0.9298276, -1.2568511]","[0.7778962, 0.7890718, 1.1124191, 1.1046741]","[46.97948, 136.97948, -133.02052, -43.02052]","[0, 0, 0, 0]","[array([  2.3731167, -66.11449  ,   7.       ,   7.       ,   0.2288129,
        -1.0071028,   2.286246 ,   0.       ,   0.       ,   0.       ,
         0.       ,   0.       ,   0.       ,   0.       ,   0.       ],
      dtype=float32), array([ 2.0745747e+00, -1.5933507e+02,  7.0000000e+00,  7.0000000e+00,
        2.2475587e-01, -1.0489049e-07,  2.2862461e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  2.2274897, 103.05989  ,   7.       ,   7.       ,   0.2288129,
         1.0071028,   2.286246 ,   0.       ,   0.       ,   0.       ,
         0.       ,   0.       ,   0.       ,   0.       ,   0.       ],
      dtype=float32), array([ 2.51270413e+00,  1.69398880e+01,  2.00000000e+01,  2.00000000e+01,
        2.37827554e-01, -1.00731015e-07,  2.28624606e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ])]"
"[-1.0518767, -1.0518767, -1.0518767, -1.0518767]",0.01,False,130.7302703857422,"[1.5152812, 1.0144244, 1.48701, 1.6731378]","[46.97948, 136.97948, -133.02052, -43.02052]","[0, 0.0]",-1.0827135,0.9421727,46.97948,0,"[0.053570665, 0.2704514, 0.054456837, -0.86178327]","[-2.8522039414391465e-05, -2.8532603217445995e-05, -2.854038367017253e-05, -2.8528381881609555e-05]",-0.002404359169304371,0.04802870750427246,"[-1.2372234, -0.9237698, -0.9346034, -1.2567229]","[0.783014, 0.7938476, 1.1073014, 1.1045531]","[46.97948, 136.97948, -133.02052, -43.02052]","[0, 0, 0, 0]","[array([  2.370291  , -66.2692    ,   7.        ,   7.        ,
         0.22182162,  -1.1303905 ,   2.2859101 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.0811257e+00, -1.5940308e+02,  7.0000000e+00,  7.0000000e+00,
        2.1740152e-01, -2.3392997e-04,  2.2859101e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  2.229082  , 103.23516   ,   7.        ,   7.        ,
         0.22181985,   1.1303996 ,   2.2859101 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([2.5125358e+00, 1.6941082e+01, 0.0000000e+00, 0.0000000e+00,
       2.3800565e-01, 4.6076695e-04, 2.2859101e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
       0.0000000e+00, 0.0000000e+00, 0.0000000e+00], dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,205.10121154785156,"[1.5130996, 1.0214161, 1.4852569, 1.6745478]","[46.97948, 136.97948, -133.02052, -42.971596]","[0, 0.0]",-1.0827135,0.9421727,46.97948,0,"[0.053570665, 0.2704514, 0.054456837, -0.86178327]","[-2.8527674672651493e-05, -2.8526989572341677e-05, -2.8524779627336905e-05, -2.853050356110831e-05]",-0.0024043871089816093,0.05747246742248535,"[-1.2324476, -0.92888755, -0.9393792, -1.25669]","[0.7881318, 0.79862344, 1.1021836, 1.1045223]","[46.97948, 136.97948, -133.02052, -42.971596]","[0, 0, 0, 0]","[array([  2.3674827 , -66.424286  ,   7.        ,   7.        ,
         0.21482302,  -1.1672219 ,   2.2859101 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.0876796e+00, -1.5947066e+02,  7.0000000e+00,  7.0000000e+00,
        2.1040152e-01, -2.4171267e-04,  2.2859101e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  2.230695  , 103.41019   ,   7.        ,   7.        ,
         0.21482125,   1.1672316 ,   2.2859101 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.5124927 , 16.892456  ,  0.        ,  0.1       ,  0.23796067,
       -0.04846347,  2.2859101 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([0. , 0.1, 0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,259.1956481933594,"[1.5109471, 1.0228635, 1.4835347, 1.676041]","[46.97948, 136.97948, -133.02052, -42.868313]","[0, 0.0]",-1.0827367,0.94222033,46.97948,0,"[0.053570665, 0.2704514, 0.054456837, -0.86178327]","[-2.8528337680855387e-05, -2.8529796325837964e-05, -2.852701167221916e-05, -2.8526989572341677e-05]",-0.0024044206365942955,0.07654428482055664,"[-1.2276717, -0.92993563, -0.94415504, -1.2567829]","[0.79324955, 0.7996257, 1.0970658, 1.1044743]","[46.97948, 136.97948, -133.02052, -42.868313]","[0, 0, 0, 0]","[array([  2.3646915 , -66.579735  ,   7.        ,   7.        ,
         0.20784242,  -1.1927745 ,   2.285951  ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.0890315e+00, -1.5948506e+02,  7.0000000e+00,  7.0000000e+00,
        2.0900097e-01, -6.0019526e-04,  2.2859509e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  2.232329  , 103.58495   ,   7.        ,   7.        ,
         0.20780279,   1.1930021 ,   2.285951  ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.512555  , 16.791088  ,  0.        ,  0.2       ,  0.23794626,
       -0.12345288,  2.285951  ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([0. , 0.1, 0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,265.87835693359375,"[1.5088241, 1.0228635, 1.4818436, 1.6775007]","[46.97948, 136.97948, -133.02052, -42.710667]","[0, 0.0]",-1.0827367,0.94222033,46.97948,0,"[0.053570665, 0.2704514, 0.054456837, -0.86178327]","[-2.852913330075868e-05, -2.8528381881609555e-05, -2.8533310487577346e-05, -2.8527630472341414e-05]",-0.0024043871089816093,0.0855417251586914,"[-1.222896, -0.92993563, -0.94893086, -1.2568871]","[0.7983673, 0.7996257, 1.091948, 1.1043621]","[46.97948, 136.97948, -133.02052, -42.710667]","[0, 0, 0, 0]","[array([  2.361918  , -66.73556   ,   7.        ,   7.        ,
         0.20084399,  -1.2343433 ,   2.285951  ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.0890315e+00, -1.5948506e+02,  7.0000000e+00,  7.0000000e+00,
        2.0900097e-01, -6.0004456e-04,  2.2859509e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  2.2339835 , 103.75946   ,   7.        ,   7.        ,
         0.20080435,   1.234587  ,   2.285951  ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.5125992 , 16.636784  ,  0.        ,  0.3       ,  0.23794605,
       -0.24424684,  2.285951  ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([0. , 0.1, 0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,47.38816452026367,"[1.5067306, 1.2264508, 1.4801836, 1.6789615]","[46.97948, 136.97948, -133.02052, -42.49866]","[0, 0.0]",-1.0827367,0.94222033,46.97948,0,"[0.053570665, 0.2704514, 0.054456837, -0.86178327]","[-2.8528337680855387e-05, -2.852694537258671e-05, -2.852835978117696e-05, -2.8526989572341677e-05]",-0.00240436103194952,0.09411168098449707,"[-1.2181201, -0.92993563, -0.9537067, -1.2570231]","[0.80348504, 0.7996257, 1.0868303, 1.1042151]","[46.97948, 136.97948, -133.02052, -42.49866]","[0, 0, 0, 0]","[array([  2.3591619 , -66.89174   ,   7.        ,   7.        ,
         0.19384567,  -1.2789134 ,   2.285951  ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.0890315e+00, -1.5948506e+02,  0.0000000e+00,  0.0000000e+00,
        2.0900097e-01, -6.0002925e-04,  2.2859509e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([  2.2356586 , 103.93371   ,   7.        ,   7.        ,
         0.19380604,   1.279175  ,   2.285951  ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32), array([ 2.512657  , 16.429153  ,  0.        ,  0.4       ,  0.23794551,
       -0.4080215 ,  2.285951  ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32)]","[array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([-0.1,  0. ,  0. ]), array([0. , 0.1, 0. ])]"
