reward,epsilon,termination,loss,force magnitude,force angle,average force vector,cyl_x_pos,cyl_y_pos,cyl_angle,gate_stats,obstacle_stats,intention_reward,intention_heading,run_time,robots_x_pos,robots_y_pos,robot_angle,robot_failures,env_observations,agent_actions
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,24.291236877441406,"[0.42586395, 0.5277328, 1.0727612, 1.3570383]","[176.81328, -93.18672, -3.1867187, 86.81328]","[0, 0.0]",-0.54880714,-0.39086738,176.81328,0,"[0.04665525, 0.17043231, 0.06256253, 0.5522777]","[0.0, 0.0, 0.0, 0.0]",0.05396729335188866,0.007259845733642578,"[-0.29242665, -0.53453285, -0.80518764, -0.5625839]","[-0.40514168, -0.1344869, -0.3765931, -0.63831174]","[176.81328, -93.18672, -3.1867187, 86.81328]","[0, 0, 0, 0]","[array([ 1.3544395e+00, -1.5940845e+02,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01,  9.1808836e-08,  1.5973669e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.5404148e+00,  9.8195343e+01,  7.0000000e+00,  7.0000000e+00,
        2.5677755e-01, -9.1810257e-08,  1.5973669e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([1.84405124e+00, 1.49705925e+01, 7.00000000e+00, 7.00000000e+00,
       2.56777555e-01, 9.18082819e-08, 1.59736693e+00, 0.00000000e+00,
       0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00,
       0.00000000e+00, 0.00000000e+00, 0.00000000e+00], dtype=float32), array([ 1.6879308e+00, -6.4593384e+01,  2.0000000e+01,  2.0000000e+01,
        2.4782756e-01, -9.6665197e-08,  1.5973669e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([-0.1, -0.1,  0. ])]"
"[-1.7021072, -1.7021072, -1.7021072, -1.7021072]",0.01,False,88.73645782470703,"[0.42699927, 0.5272511, 1.0663257, 1.347304]","[176.81328, -93.18672, -3.1867187, 86.81328]","[0, 0.0]",-0.5487756,-0.3903008,176.81328,0,"[0.04665525, 0.17043231, 0.06256253, 0.5522777]","[-0.014338062254691364, -0.014377241775948124, -0.014314237089133264, -0.00962430418711746]",0.0535421259701252,0.01465749740600586,"[-0.29941583, -0.534922, -0.79819846, -0.56199646]","[-0.40475255, -0.14147606, -0.37698224, -0.6277606]","[176.81328, -93.18672, -3.1867187, 86.81328]","[0, 0, 0, 0]","[array([ 1.3609946e+00, -1.5951208e+02,  7.0000000e+00,  7.0000000e+00,
        2.4977821e-01, -1.3016598e-01,  1.5971978e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.5414282e+00,  9.8452881e+01,  7.0000000e+00,  7.0000000e+00,
        2.4921010e-01, -9.4598228e-08,  1.5971978e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.8372897 , 15.026982  ,  7.        ,  7.        ,  0.24977821,
        0.13016617,  1.5971978 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.6834240e+00, -6.4918266e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -1.0073100e-07,  1.5971978e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([-0.1, -0.1,  0. ])]"
"[-1.7027589, -1.7027589, -1.7027589, -1.7027589]",0.01,False,54.09782791137695,"[0.42824605, 0.526862, 1.0598973, 1.3462527]","[176.81328, -93.18672, -3.1867187, 86.81328]","[0, 0.0]",-0.54871213,-0.3891606,176.81328,0,"[0.04665525, 0.17043231, 0.06256253, 0.5522777]","[-0.014113565566055919, -0.014092686877709815, -0.0140965069613459, -0.014067576417387873]",0.05359837785363197,0.023456573486328125,"[-0.306405, -0.53531116, -0.7912093, -0.561933]","[-0.40436342, -0.14846525, -0.37737137, -0.6266204]","[176.81328, -93.18672, -3.1867187, 86.81328]","[0, 0, 0, 0]","[array([   1.367554  , -159.61475   ,    7.        ,    7.        ,
          0.24278358,   -0.40342146,    1.5968579 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([ 1.5424727e+00,  9.8710068e+01,  7.0000000e+00,  7.0000000e+00,
        2.4106812e-01, -9.7793368e-08,  1.5968579e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.8305299 , 15.08379   ,  7.        ,  7.        ,  0.24278358,
        0.40342167,  1.5968579 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.6829402e+00, -6.4953484e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -1.0073100e-07,  1.5968579e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([-0.1, -0.1,  0. ])]"
"[-1.7034165, -1.7034165, -1.7034165, -1.7034165]",0.01,False,41.476531982421875,"[0.42960325, 0.52656573, 1.0534762, 1.345193]","[176.81328, -93.18672, -3.1867187, 86.81328]","[0, 0.0]",-0.5486481,-0.38801098,176.81328,0,"[0.04665525, 0.17043231, 0.06256253, 0.5522777]","[-0.014143166706186205, -0.014112672129764525, -0.014135634118884632, -0.014068374537303696]",0.05353393033146858,0.03131246566772461,"[-0.3133942, -0.53570026, -0.78422016, -0.56186897]","[-0.4039743, -0.15545443, -0.3777605, -0.62547076]","[176.81328, -93.18672, -3.1867187, 86.81328]","[0, 0, 0, 0]","[array([   1.3741177 , -159.71642   ,    7.        ,    7.        ,
          0.23579492,   -0.6951742 ,    1.596516  ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([ 1.54354835e+00,  9.89669113e+01,  7.00000000e+00,  7.00000000e+00,
        2.32916713e-01, -1.01215974e-07,  1.59651601e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,
        0.00000000e+00,  0.00000000e+00,  0.00000000e+00], dtype=float32), array([ 1.8237721 , 15.141018  ,  7.        ,  7.        ,  0.23579492,
        0.6951744 ,  1.596516  ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.6824530e+00, -6.4989006e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -1.0073100e-07,  1.5965160e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([-0.1, -0.1,  0. ])]"
"[-1.7040799, -1.7040799, -1.7040799, -1.7040799]",0.01,False,93.13763427734375,"[0.43106988, 0.52636236, 1.0470625, 1.3441248]","[176.81328, -93.18672, -3.1867187, 86.81328]","[0, 0.0]",-0.54858357,-0.3868519,176.81328,0,"[0.04665525, 0.17043231, 0.06256253, 0.5522777]","[-0.01410925538685992, -0.014108442403601873, -0.014109055567132489, -0.014108081955815699]",0.05353417247533798,0.03935694694519043,"[-0.32038337, -0.5360894, -0.777231, -0.5618044]","[-0.40358517, -0.1624436, -0.37814963, -0.6243117]","[176.81328, -93.18672, -3.1867187, 86.81328]","[0, 0, 0, 0]","[array([   1.3806858, -159.81711  ,    7.       ,    7.       ,
          0.2288129,   -1.0071028,    1.5961721,    0.       ,
          0.       ,    0.       ,    0.       ,    0.       ,
          0.       ,    0.       ,    0.       ], dtype=float32), array([ 1.5446548e+00,  9.9223389e+01,  7.0000000e+00,  7.0000000e+00,
        2.2475587e-01, -1.0489124e-07,  1.5961721e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.817016 , 15.198671 ,  7.       ,  7.       ,  0.2288129,
        1.0071031,  1.5961721,  0.       ,  0.       ,  0.       ,
        0.       ,  0.       ,  0.       ,  0.       ,  0.       ],
      dtype=float32), array([ 1.6819626e+00, -6.5024841e+01,  2.0000000e+01,  2.0000000e+01,
        2.3782755e-01, -1.0073100e-07,  1.5961721e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([-0.1, -0.1,  0. ])]"
"[-1.7066753, -1.7066753, -1.7066753, -1.7066753]",0.01,False,26.99960708618164,"[0.4326448, 0.52625203, 1.0406564, 0.8397366]","[176.81328, -93.18672, -3.1867187, 86.81328]","[0, 0.0]",-0.5485648,-0.38649806,176.81328,0,"[0.04665525, 0.17043231, 0.06256253, 0.5522777]","[-0.014109382723693664, -0.0141085188034481, -0.014109304362497688, -0.014108177944181621]",0.053532980382442474,0.047351837158203125,"[-0.32737252, -0.5364785, -0.7702418, -0.5617936]","[-0.40319604, -0.16943277, -0.37853876, -0.6241358]","[176.81328, -93.18672, -3.1867187, 86.81328]","[0, 0, 0, 0]","[array([   1.387258  , -159.91685   ,    7.        ,    7.        ,
          0.22182162,   -1.1303905 ,    1.5960681 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([ 1.5457922e+00,  9.9479500e+01,  7.0000000e+00,  7.0000000e+00,
        2.1740152e-01, -2.3392997e-04,  1.5960681e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.8102617 , 15.256756  ,  7.        ,  7.        ,  0.22181985,
        1.1303998 ,  1.5960681 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.6818873e+00, -6.5030266e+01,  0.0000000e+00,  0.0000000e+00,
        2.3800565e-01,  4.6076695e-04,  1.5960681e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([0. , 0.1, 0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,10.482532501220703,"[0.43432686, 0.5262348, 1.034258, 0.8386035]","[176.81328, -93.18672, -3.1867187, 86.862206]","[0, 0.0]",-0.5485655,-0.3865023,176.81328,0,"[0.04665525, 0.17043231, 0.06256253, 0.5522777]","[-0.014108755840175569, -0.014108630465131222, -0.01410870882446913, -0.014108693152584229]",0.05353288725018501,0.05549931526184082,"[-0.3343617, -0.5368677, -0.7632526, -0.56178886]","[-0.40280688, -0.17642194, -0.3789279, -0.6241401]","[176.81328, -93.18672, -3.1867187, 86.862206]","[0, 0, 0, 0]","[array([   1.3938345 , -160.01567   ,    7.        ,    7.        ,
          0.21482347,   -1.1660818 ,    1.5960699 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([ 1.5469606e+00,  9.9735222e+01,  7.0000000e+00,  7.0000000e+00,
        2.1040578e-01, -3.8438672e-04,  1.5960699e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.8035094 , 15.315275  ,  7.        ,  7.        ,  0.21482064,
        1.1660974 ,  1.5960699 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([ 1.6818844e+00, -6.5078995e+01, -1.0000000e-01,  0.0000000e+00,
        2.3800541e-01, -4.7130816e-02,  1.5960699e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32)]","[array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([-0.1,  0. ,  0. ])]"
"[-2.6520498, -2.6520498, -2.6520498, -2.6520498]",0.01,False,68.41407775878906,"[0.4361148, 0.5262993, 1.0278674, 0.83754337]","[176.81328, -93.18672, -3.1867187, 86.96549]","[0, 0.0]",-0.54863244,-0.38663545,176.81328,0,"[0.04665525, 0.17043231, 0.06256253, 0.5522777]","[-0.014108706865483045, -0.014108675521724123, -0.014108787184023086, -0.014108661808840406]",0.053532831370830536,0.0632789134979248,"[-0.34135088, -0.5370089, -0.75626343, -0.5617797]","[-0.40241775, -0.17795444, -0.37931702, -0.62424093]","[176.81328, -93.18672, -3.1867187, 86.96549]","[0, 0, 0, 0]","[array([   1.4004151 , -160.11354   ,    7.        ,    7.        ,
          0.20788151,   -1.1673539 ,    1.5961671 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([ 1.5472764e+00,  9.9791000e+01,  7.0000000e+00,  7.0000000e+00,
        2.0900448e-01, -1.3625480e-03,  1.5961671e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.7967589 , 15.374234  ,  7.        ,  7.        ,  0.20775993,
        1.1680374 ,  1.5961671 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([  1.6819134 , -65.17898   ,  -0.2       ,   0.        ,
         0.23796898,  -0.13256405,   1.5961671 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32)]","[array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([-0.1,  0. ,  0. ])]"
"[-2.7157438, -2.7157438, -2.7157438, -2.7157438]",0.01,False,15.465160369873047,"[0.4380073, 0.526378, 1.0214849, 0.83653396]","[176.81328, -93.18672, -3.1867187, 87.12314]","[0, 0.0]",-0.5487183,-0.3867745,176.81328,0,"[0.04665525, 0.17043231, 0.06256253, 0.5522777]","[-0.014108677480707987, -0.014108724496362579, -0.014108630465131222, -0.014108693152584229]",0.053532857447862625,0.07171368598937988,"[-0.34834006, -0.5370944, -0.74927425, -0.56178737]","[-0.40202862, -0.17809363, -0.37970614, -0.6243858]","[176.81328, -93.18672, -3.1867187, 87.12314]","[0, 0, 0, 0]","[array([   1.4069996, -160.21051  ,    7.       ,    7.       ,
          0.200958 ,   -1.1666191,    1.596284 ,    0.       ,
          0.       ,    0.       ,    0.       ,    0.       ,
          0.       ,    0.       ,    0.       ], dtype=float32), array([ 1.5473773e+00,  9.9795753e+01,  7.0000000e+00,  7.0000000e+00,
        2.0900437e-01, -1.4593889e-03,  1.5962840e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.7900103, 15.433638 ,  7.       ,  7.       ,  0.2006805,
        1.1682327,  1.596284 ,  0.       ,  0.       ,  0.       ,
        0.       ,  0.       ,  0.       ,  0.       ,  0.       ],
      dtype=float32), array([  1.6819743 , -65.33214   ,  -0.3       ,   0.        ,
         0.23797038,  -0.27134833,   1.596284  ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32)]","[array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([-0.1,  0. ,  0. ])]"
"[-2.0, -2.0, -2.0, -2.0]",0.01,False,17.081199645996094,"[0.44000307, 0.56586736, 1.0151104, 0.83549243]","[176.81328, -93.18672, -3.1867187, 87.335144]","[0, 0.0]",-0.5487519,-0.38682833,176.81328,0,"[0.04665525, 0.17043231, 0.06256253, 0.5522777]","[-0.014108691193599254, -0.0141087401682648, -0.014108706865483045, -0.014108659849857652]",0.053532831370830536,0.07996320724487305,"[-0.35532925, -0.5371066, -0.7422851, -0.5617792]","[-0.4016395, -0.17810789, -0.3800953, -0.62448895]","[176.81328, -93.18672, -3.1867187, 87.335144]","[0, 0, 0, 0]","[array([   1.4135882 , -160.30656   ,    7.        ,    7.        ,
          0.19398887,   -1.1921109 ,    1.5963297 ,    0.        ,
          0.        ,    0.        ,    0.        ,    0.        ,
          0.        ,    0.        ,    0.        ], dtype=float32), array([ 1.5473911e+00,  9.9796227e+01,  0.0000000e+00,  0.0000000e+00,
        2.0904507e-01, -6.7233043e-03,  1.5963297e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,
        0.0000000e+00,  0.0000000e+00,  0.0000000e+00], dtype=float32), array([ 1.7832638 , 15.49349   ,  7.        ,  7.        ,  0.19365029,
        1.1941957 ,  1.5963297 ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ],
      dtype=float32), array([  1.6820049 , -65.54078   ,  -0.4       ,   0.        ,
         0.23801738,  -0.47265917,   1.5963297 ,   0.        ,
         0.        ,   0.        ,   0.        ,   0.        ,
         0.        ,   0.        ,   0.        ], dtype=float32)]","[array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([ 0.1, -0.1,  0. ]), array([-0.1,  0. ,  0. ])]"
